item_type	item_sku	external_product_id	external_product_id_type	brand_name	feed_product_type	item_name	manufacturer	part_number	standard_price	quantity	migrated_shipping_group_name	main_image_url	product_description	fulfillment_center_id	package_length	package_width	package_height	package_weight	package_weight_unit_of_measure	package_length_unit_of_measure	
craft-supplies	IME249	728795255268	UPC	Dee's Distinctively	ArtSupplies	Dee's Distinctively Dies - Festive Poinsettia	Dee's Distinctively	IME249	25.86	0	Migrated Template	https://www.ecstasycrafts.com/assets/images/IME249.jpg	Dee's Distinctively Dies - Festive Poinsettia<br><br>This lovely poinsettia is perfect for designing Christmas cards. <br><br>Size: 3.47" x 3.85	DEFAULT	undefined	undefined	undefined	0.03	OZ	IN	
craft-supplies	IME254	728795255312	UPC	Dee's Distinctively	ArtSupplies	Dee's Distinctively Dies - Doe	Dee's Distinctively	IME254	13.66	1	Migrated Template	https://www.ecstasycrafts.com/assets/images/IME-254 DOE.jpg	Dee's Distinctively Dies - Doe<br><br>This beautiful doe is the perfect die for creating beautiful scene cards and landscapes. Great for any season and a great addition to holiday cards.<br><br>Size: 2" x 2.83"	DEFAULT	undefined	undefined	undefined	0.03	OZ	IN	
craft-supplies	IME259	728795255367	UPC	Dee's Distinctively	ArtSupplies	Dee's Distinctively Dies - Pine Branch 3	Dee's Distinctively	IME259	14.74	0	Migrated Template	https://www.ecstasycrafts.com/assets/images/IME259.jpg	Dee's Distinctively Dies - Pine Branch 3<br><br>Add a touch of nature to your projects with this versatile die.<br><br>Size: 3.36" x 2.39"	DEFAULT	undefined	undefined	undefined	0.03	OZ	IN	
craft-supplies	IME264	728795255411	UPC	Dee's Distinctively	ArtSupplies	Dee's Distinctively Dies - Jumbo Tree Stacker	Dee's Distinctively	IME264	46.98	1	Migrated Template	https://www.ecstasycrafts.com/assets/images/IME264.jpg	Dee's Distinctively Dies - Jumbo Tree Stacker<br><br>This jumbo set of stacker trees includes 9 dies that can be used in different configurations to add variety to your outdoor scenes. Perfect for Christmas or Winter projects, try mixing and matching paper colours and textures to add some lovely depth to your project.<br><br>Size: 5.85" x 4.32"	DEFAULT	undefined	undefined	undefined	0.03	OZ	IN	
craft-supplies	IME241	728795255183	UPC	Dee's Distinctively	ArtSupplies	Dee's Distinctively Dies - Festive Happy Holidays	Dee's Distinctively	IME241	16.36	1	Migrated Template	https://www.ecstasycrafts.com/assets/images/IME241.jpg	Dee's Distinctively Dies - Festive Happy Holidays<br><br>Wish your friends and family "Happy Holidays" with this festive script die.<br><br>2.54" x 3.32"	DEFAULT	undefined	undefined	undefined	0.03	OZ	IN	
craft-supplies	IME246	728795255237	UPC	Dee's Distinctively	ArtSupplies	Dee's Distinctively Dies - Festive Corner	Dee's Distinctively	IME246	14.9	1	Migrated Template	https://www.ecstasycrafts.com/assets/images/IME246.jpg	Dee's Distinctively Dies - Festive Corner<br><brthis corner="" die="" will="" add="" a="" pretty="" embellishment="" to="" your="" projects.="" try="" cutting="" it="" out="" four="" times="" make="" frame!=""><brthis corner="" die="" will="" add="" a="" pretty="" embellishment="" to="" your="" projects.="" try="" cutting="" it="" out="" four="" times="" make="" frame!=""><br>This corner die will add a pretty embellishment to your projects. Try cutting it out four times to make a festive frame!<br><br>Size 3.11" 3.12"</brthis></brthis>	DEFAULT	undefined	undefined	undefined	0.03	OZ	IN	
craft-supplies	IME251	728795255282	UPC	Dee's Distinctively	ArtSupplies	Dee's Distinctively Dies - Stag	Dee's Distinctively	IME251	15.6	-1	Migrated Template	https://www.ecstasycrafts.com/assets/images/IME251.jpg	Dee's Distinctively Dies - Stag<br><br>This regal stag is the perfect die for creating beautiful scene cards and landscapes. Great for any season and a great addition to holiday cards.<br><br>Size: 2.42" x 3.56"	DEFAULT	undefined	undefined	undefined	0.03	OZ	IN	
craft-supplies	IME256	728795255336	UPC	Dee's Distinctively	ArtSupplies	Dee's Distinctively Dies - Mini Robins 2	Dee's Distinctively	IME256	16.36	1	Migrated Template	https://www.ecstasycrafts.com/assets/images/IME256.jpg	Dee's Distinctively Dies - Mini Robins 2<br><br>These mini robins are a perfect addition to your outdoorsy projects. They look great on their own, or try using them with IME264 to decorate your jumbo tree.<br><br>Size: 3.07" x 2.39"	DEFAULT	undefined	undefined	undefined	0.03	OZ	IN	
craft-supplies	IME261	728795255381	UPC	Dee's Distinctively	ArtSupplies	Dee's Distinctively Dies - Happy Holidays 2	Dee's Distinctively	IME261	15.36	0	Migrated Template	https://www.ecstasycrafts.com/assets/images/IME261.jpg	Dee's Distinctively Dies - Happy Holidays 2<br><br>Wish your friends and familiy "Happy Holidays" with this script die.<br><br>Size: 3.68" x 1.8"	DEFAULT	undefined	undefined	undefined	0.03	OZ	IN	
craft-supplies	IME266	728795255435	UPC	Dee's Distinctively	ArtSupplies	Dee's Distinctively Dies - Birch Tree Frame	Dee's Distinctively	IME266	32.4	1	Migrated Template	https://www.ecstasycrafts.com/assets/images/IME266.jpg	Dee's Distinctively Dies - Birch Tree Frame<br><br>This birch tree frame is a perfect background for your autumn or Winter projects. Use it with IME 252 to make lovely outdoor scenes.<br><br>Size: 4.48" x 3.43	DEFAULT	undefined	undefined	undefined	0.03	OZ	IN	
craft-supplies	IME243	728795255206	UPC	Dee's Distinctively	ArtSupplies	Dee's Distinctively Dies - Holly Jolly Joy	Dee's Distinctively	IME243	15.66	1	Migrated Template	https://www.ecstasycrafts.com/assets/images/IME243.jpg	Dee's Distinctively Dies - Holly Jolly Joy<br><br>Wish you friends and family "Joy" or a "Holly Jolly" holiday season with this festive die.<br><br>2.42" x 2.47"	DEFAULT	undefined	undefined	undefined	0.03	OZ	IN	
craft-supplies	IME248	728795255251	UPC	Dee's Distinctively	ArtSupplies	Dee's Distinctively Dies - Pine Sprig 3	Dee's Distinctively	IME248	20.36	0	Migrated Template	https://www.ecstasycrafts.com/assets/images/IME248.jpg	Dee's Distinctively Dies - Pine Sprig 3<br><br>These pine sprigs will make an excellent addition to your collection. They are perfect for festive projects such as Christmas cards, or you can experiement with different colours and textures to add embellishment to almost any project. <br><br>Size: 3.57" x 2.6"	DEFAULT	undefined	undefined	undefined	0.03	OZ	IN	
craft-supplies	IME253	728795255305	UPC	Dee's Distinctively	ArtSupplies	Dee's Distinctively Dies - Fawn Set Small	Dee's Distinctively	IME253	15.46	0	Migrated Template	https://www.ecstasycrafts.com/assets/images/IME-253 FAWN SET SM.jpg	Dee's Distinctively Dies - Fawn Set Small<br><br>This set of small playful fawns are perfect for creating beautiful scene cards and landscapes. Great for any season and a great addition to holiday cards.<br><br>Size 3.13" 2.23"	DEFAULT	undefined	undefined	undefined	0.03	OZ	IN	
craft-supplies	IME258	728795255350	UPC	Dee's Distinctively	ArtSupplies	Dee's Distinctively Dies - Pine Branch 2	Dee's Distinctively	IME258	14	1	Migrated Template	https://www.ecstasycrafts.com/assets/images/IME258.jpg	Dee's Distinctively Dies - Pine Branch 2<br><br>Add a touch of nature to your projects with this versatile die.<br><br>Size: 3.44" x 2.15"	DEFAULT	undefined	undefined	undefined	0.03	OZ	IN	
craft-supplies	IME263	728795255404	UPC	Dee's Distinctively	ArtSupplies	Dee's Distinctively Dies - Winter Robin	Dee's Distinctively	IME263	12.56	2	Migrated Template	https://www.ecstasycrafts.com/assets/images/IME263.jpg	Dee's Distinctively Dies - Winter Robin<br><br>This Winter robin is perfect for your holiday cards, but don't let the name fool you - he can be used all year long to decorate projects for any season.<br><br>Size: 2.35" x 1.82"	DEFAULT	undefined	undefined	undefined	0.03	OZ	IN	
craft-supplies	IME242	728795255442	UPC	Dee's Distinctively	ArtSupplies	Dee's Distinctively Dies - Merry & Bright	Dee's Distinctively	IME242	12.4	0	Migrated Template	https://www.ecstasycrafts.com/assets/images/IME242.jpg	Dee's Distinctively Dies - Merry &amp; Bright<br><br>Wish your friends and family a "Merry &amp; Bright" holiday season with this lovely script die.<br><br>2.78" x 1.68"	DEFAULT	undefined	undefined	undefined	0.03	OZ	IN	
craft-supplies	IME247	728795255244	UPC	Dee's Distinctively	ArtSupplies	Dee's Distinctively Dies - Let It Snow	Dee's Distinctively	IME247	14.46	1	Migrated Template	https://www.ecstasycrafts.com/assets/images/IME247.jpg	Dee's Distinctively Dies - Let It Snow<br><br>Add a sentiment to your cards this winter with this "Let it Snow" die. <br><br>Size 3.39" x 1.85"	DEFAULT	undefined	undefined	undefined	0.03	OZ	IN	
craft-supplies	IME252	728795255299	UPC	Dee's Distinctively	ArtSupplies	Dee's Distinctively Dies - Fawn Set Large	Dee's Distinctively	IME252	20.9	1	Migrated Template	https://www.ecstasycrafts.com/assets/images/IME252.jpg	Dee's Distinctively Dies - Fawn Set Large<br><br>This set of large playful fawns are perfect for creating beautiful scene cards and landscapes. Great for any season and a great addition to holiday cards.<br><br>Size 3.57" x 2.98"	DEFAULT	undefined	undefined	undefined	0.03	OZ	IN	
craft-supplies	IME257	728795255343	UPC	Dee's Distinctively	ArtSupplies	Dee's Distinctively Dies - Pine Branch 1	Dee's Distinctively	IME257	14	0	Migrated Template	https://www.ecstasycrafts.com/assets/images/IME257.jpg	Dee's Distinctively Dies - Pine Branch 1<br><br>Add a touch of nature to your projects with this versatile die.<br><br>Size: 3.51" x 2.11"	DEFAULT	undefined	undefined	undefined	0.03	OZ	IN	
craft-supplies	IME262	728795255398	UPC	Dee's Distinctively	ArtSupplies	Dee's Distinctively Dies - Lantern	Dee's Distinctively	IME262	19.8	0	Migrated Template	https://www.ecstasycrafts.com/assets/images/IME262.jpg	Dee's Distinctively Dies - Lantern<br><br>This lantern die adds a nice vintage touch to your cards. Great for the holidays, or to create outdoor village scenes.<br><br>Size: 2.76" x 4.77"	DEFAULT	undefined	undefined	undefined	0.03	OZ	IN	
